date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:03:32	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2004%20Dec%202024%2007:33:31%20GMT	http://www.indonez.com/html-demo/equity/index.html	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/index.0.delayed	(from )
13:03:33	26689/26689	---M-Z	200	added ('OK')	text/html	etag:%226841-66c81dd8-af2b147bf66186fb;gz%22	https://www.indonez.com/html-demo/equity/index.html	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/index.html	(from )
13:03:35	90/90	---M--	200	added ('OK')	text/plain	etag:%225a-6135f310-8da345f281be3619;;;%22	https://www.indonez.com/robots.txt		(from )
13:03:36	108020/108020	---M--	200	added ('OK')	font/woff2	etag:%221a5f4-1dc09d84-efdb9d9fc7f8ca50;;;%22	https://www.indonez.com/html-demo/equity/fonts/fa-brands-400.woff2	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/fonts/fa-brands-400.woff2	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:37	150124/150124	---M--	200	added ('OK')	font/woff2	etag:%2224a6c-1dc09d84-192ad25597ab70e;;;%22	https://www.indonez.com/html-demo/equity/fonts/fa-solid-900.woff2	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/fonts/fa-solid-900.woff2	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:37	12652/12652	---M--	200	added ('OK')	font/woff2	etag:%22316c-6461993e-273d567393f4eb73;;;%22	https://www.indonez.com/html-demo/equity/fonts/archivo-v18-latin-regular.woff2	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/fonts/archivo-v18-latin-regular.woff2	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:38	12512/12512	---M--	200	added ('OK')	font/woff2	etag:%2230e0-6461993e-135c908a903f8a86;;;%22	https://www.indonez.com/html-demo/equity/fonts/archivo-v18-latin-300.woff2	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/fonts/archivo-v18-latin-300.woff2	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:39	12512/12512	---M--	200	added ('OK')	font/woff2	etag:%2230e0-6461993e-92844c2ea30830dd;;;%22	https://www.indonez.com/html-demo/equity/fonts/archivo-v18-latin-700.woff2	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/fonts/archivo-v18-latin-700.woff2	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:40	540382/540382	---M-Z	200	added ('OK')	text/css	etag:%2283ede-646b167a-b5f849a9baf01687;gz%22	https://www.indonez.com/html-demo/equity/css/style.css	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/css/style.css	(from https://www.indonez.com/html-demo/equity/index.html)
13:03:41	139120/139120	---M-Z	200	added ('OK')	application/x-javascript	etag:%2221f70-646b167e-3cdc8635c63793c0;gz%22	https://www.indonez.com/html-demo/equity/js/vendors/uikit.min.js	/home/ishanj@nslon.goodmaysys.com/websites/fx/www.indonez.com/html-demo/equity/js/vendors/uikit.min.js	(from https://www.indonez.com/html-demo/equity/index.html)
